Id,ParentId,AssetRating,AssetSource,DisplayCategory,DisplayName,DisplayPublisher,Keywords,LastRelease,LatestVersion,License,Location,PackageSource,PackageTags,PriceUsd,PurchaseDate,RatingCount,Revision,SafeCategory,SafeName,SafePublisher,SupportedUnityVersions,Version
185,0,0,AssetStorePackage,2D/Textures & Materials,"100+ Stylized Resource Textures - Leather, Fur, Bones, Coins & More",Game Buffs,"100+ Stylized Resource Textures - Leather, Fur, Bones, Coins & More",8/6/2024 15:28,1.1.0,,[ac]/Game Buffs/Textures Materials/100 Stylized Resource Textures - Leather Fur Bones Coins More.unitypackage,Unknown,,29.99,9/29/2025 20:48,0,7,Textures Materials,100 Stylized Resource Textures - Leather Fur Bones Coins More,Game Buffs,"2020.3.0, 2021.3.0",1.1.0
186,0,5,AssetStorePackage,3D/Props/Weapons,100+ Stylized Weapons Bundle - Fantasy RPG,Blink,100+ Stylized Weapons Bundle - Fantasy RPG,10/2/2021 13:43,1.0,,[ac]/Blink/3D ModelsPropsWeapons/100 Stylized Weapons Bundle - Fantasy RPG.unitypackage,Unknown,,69.99,5/31/2024 12:37,7,12,3D ModelsPropsWeapons,100 Stylized Weapons Bundle - Fantasy RPG,Blink,2019.4.0,1.0
187,0,0,AssetStorePackage,2D,16 Free Tile Texture,Yuqixiang,16 Free Tile Texture,3/6/2024 11:49,1.0,,[ac]/Duckweed Studio/2D/16 Free Tile Texture.unitypackage,Unknown,,0,4/11/2024 18:06,0,1,2D,16 Free Tile Texture,Duckweed Studio,2022.2.2,1.0
188,0,0,AssetStorePackage,2D/Textures & Materials/Nature,"240+ Stylized Arctic Textures - Snow, Ice & More",Game Buffs,"240+ Stylized Arctic Textures - Snow, Ice & More",8/6/2024 15:28,1.1.0,,[ac]/Game Buffs/Textures MaterialsNature/240 Stylized Arctic Textures - Snow Ice More.unitypackage,Unknown,,69.99,9/29/2025 20:43,1,7,Textures MaterialsNature,240 Stylized Arctic Textures - Snow Ice More,Game Buffs,"2020.3.0, 2021.3.0",1.1.0
192,0,5,AssetStorePackage,Audio/Music,25 Fantasy RPG Game Tracks Music Pack,alkakrab,25 Fantasy RPG Game Tracks Music Pack,1/5/2023 15:49,1.0,,[ac]/alkakrab/AudioMusic/25 Fantasy RPG Game Tracks Music Pack.unitypackage,Unknown,,0,9/27/2025 14:21,7,4,AudioMusic,25 Fantasy RPG Game Tracks Music Pack,alkakrab,2021.3.14,1.0
193,0,4,AssetStorePackage,2D/Textures & Materials,"25+ Free Realistic Textures - Nature, City, Home, Construction & More",Game Buffs,"25+ Free Realistic Textures - Nature, City, Home, Construction & More",8/6/2024 15:26,1.2.0,,[ac]/Game Buffs/Textures Materials/25 Free Realistic Textures - Nature City Home Construction More.unitypackage,Unknown,,0,9/29/2025 20:50,3,11,Textures Materials,25 Free Realistic Textures - Nature City Home Construction More,Game Buffs,2021.3.0,1.2.0
194,0,5,AssetStorePackage,2D/Textures & Materials,"25+ Free Stylized Textures - Grass, Ground, Floors, Walls & More",Game Buffs,"25+ Free Stylized Textures - Grass, Ground, Floors, Walls & More",8/6/2024 15:20,1.2.0,,[ac]/Game Buffs/Textures Materials/25 Free Stylized Textures - Grass Ground Floors Walls More.unitypackage,Unknown,,0,9/29/2025 20:51,9,11,Textures Materials,25 Free Stylized Textures - Grass Ground Floors Walls More,Game Buffs,2021.3.0,1.2.0
190,0,0,AssetStorePackage,2D/Textures & Materials/Nature,"250+ Stylized Mountain & Cave Textures - Cliff, Rock, Crystal, Gravel & More",Game Buffs,"250+ Stylized Mountain & Cave Textures - Cliff, Rock, Crystal, Gravel & More",8/6/2024 15:28,1.1.0,,[ac]/Game Buffs/Textures MaterialsNature/250 Stylized Mountain Cave Textures - Cliff Rock Crystal Gravel More.unitypackage,Unknown,,74.99,9/29/2025 20:45,0,7,Textures MaterialsNature,250 Stylized Mountain Cave Textures - Cliff Rock Crystal Gravel More,Game Buffs,"2020.3.0, 2021.3.0",1.1.0
189,0,3,AssetStorePackage,Textures & Materials,"2500+ Stylized Textures Megapack - Nature, Walls, Floors, Fantasy & More",Game Buffs,"2500+ Stylized Textures Megapack - Nature, Walls, Floors, Fantasy & More",8/6/2024 15:19,1.1.0,,[ac]/Game Buffs/Textures Materials/2500 Stylized Textures Megapack - Nature Walls Floors Fantasy More.unitypackage,Unknown,,349.99,2/4/2024 21:28,10,8,Textures Materials,2500 Stylized Textures Megapack - Nature Walls Floors Fantasy More,Game Buffs,"2020.3.0, 2021.3.0",1.1.0
191,0,0,AssetStorePackage,2D/Environments,2.5D Pixel Art Platformer - Plain,yulaf,2.5D Pixel Art Platformer - Plain,9/8/2025 11:29,1.0,,[ac]/yulaf/Textures Materials2D Isometric Tiles/25D Pixel Art Platformer - Plain.unitypackage,Unknown,,0,9/19/2025 15:38,0,1,Textures Materials2D Isometric Tiles,25D Pixel Art Platformer - Plain,yulaf,2022.3.34,1.0
195,0,0,AssetStorePackage,2D/Textures & Materials/Nature,"280+ Stylized Desert & Beach Textures - Sand, Cracked Sand, Water & More",Game Buffs,"280+ Stylized Desert & Beach Textures - Sand, Cracked Sand, Water & More",8/6/2024 15:27,1.1.0,,[ac]/Game Buffs/Textures MaterialsNature/280 Stylized Desert Beach Textures - Sand Cracked Sand Water More.unitypackage,Unknown,,79.99,9/29/2025 20:43,0,7,Textures MaterialsNature,280 Stylized Desert Beach Textures - Sand Cracked Sand Water More,Game Buffs,"2020.3.0, 2021.3.0",1.1.0
1935,0,5,AssetStorePackage,Templates/Systems,2D Action RPG Engine: Mythril2D,Gyvr,2D Action RPG Engine: Mythril2D,9/2/2025 17:56,3.3,,[ac]/Gyvr/Complete ProjectsSystems/2D Action RPG Engine Mythril2D.unitypackage,Unknown,,35,11/19/2025 23:35,39,18,Complete ProjectsSystems,2D Action RPG Engine Mythril2D,Gyvr,6000.0.43,3.3
2235,0,0,CustomPackage,,2D Black&White Game Pack,,,4/24/2023 15:18,,,E:/Game Assets/2D/2D+Black&White+Game+Pack/2D Black&White Game Pack.unitypackage,Unknown,,0,,0,0,,2D Black&White Game Pack,,,
196,0,5,AssetStorePackage,2D/Characters,2D Character Sprite Animation - Penguin,Nine Pines Animation,2D Character Sprite Animation - Penguin,11/21/2022 14:15,1.0,,[ac]/Nine Pines Animation/Textures Materials2D Characters/2D Character Sprite Animation - Penguin.unitypackage,Unknown,,0,3/2/2024 16:27,17,1,Textures Materials2D Characters,2D Character Sprite Animation - Penguin,Nine Pines Animation,2021.3.6,1.0
197,0,5,AssetStorePackage,2D/Environments,2D Cozy RPG - Farming - Tilesets - Characters - Pixelart FULL BUNDLE,Gif,2D Cozy RPG - Farming - Tilesets - Characters - Pixelart FULL BUNDLE,10/15/2024 12:55,3.1.0,,[ac]/Gif/Textures Materials2D Isometric Tiles/2D Cozy RPG - Farming - Tilesets - Characters - Pixelart FULL BUNDLE.unitypackage,Unknown,,24.99,2/4/2024 21:30,47,27,Textures Materials2D Isometric Tiles,2D Cozy RPG - Farming - Tilesets - Characters - Pixelart FULL BUNDLE,Gif,2020.3.37,3.1.0
1616,0,0,AssetStorePackage,Essentials/Certification,2D Endless Runner Assets | Certification Courseware,Unity Technologies,2D Endless Runner Assets | Certification Courseware,3/30/2023 9:35,1.1,,[ac]/Unity Technologies/Unity EssentialsCertification/2D Endless Runner Assets Certification Courseware.unitypackage,Unknown,,0,10/19/2025 10:38,0,3,Unity EssentialsCertification,2D Endless Runner Assets Certification Courseware,Unity Technologies,"2018.4.36, 2021.3.0",1.1
198,0,5,AssetStorePackage,2D/Environments,2D Fantasy sprite bundle,Laetus Somnia,2D Fantasy sprite bundle,3/22/2025 4:28,1.9,,[ac]/Laetus Somnia/Textures Materials2D Isometric Tiles/2D Fantasy sprite bundle.unitypackage,Unknown,,29.5,2/4/2024 21:28,9,17,Textures Materials2D Isometric Tiles,2D Fantasy sprite bundle,Laetus Somnia,2022.3.57,1.9
199,0,4,AssetStorePackage,Templates/Tutorials,2D Game Kit,Unity Technologies,"2D Game Kit, 2D, sprite, kit, game, tile, tilemapper, tilemap, platformer, metroidvania, 2d physics",7/26/2024 5:00,3.0,,[ac]/Unity Technologies/Complete ProjectsTutorials/2D Game Kit.unitypackage,Unknown,,0,9/15/2025 13:47,483,54,Complete ProjectsTutorials,2D Game Kit,Unity Technologies,"2017.3.0, 2018.1.0, 2018.2.0, 2018.2.1, 2018.2.2, 2018.3.0, 2019.1.0, 2019.2.0, 2019.2.7, 2019.3.0, 2019.4.0, 2020.1.0, 2020.2.1, 2020.3.0, 2021.3.6, 2022.3.0",3.0
200,0,0,AssetStorePackage,Tools/Particles & Effects,2D Ghost Trail Spawner (Free),The Black Cat,2D Ghost Trail Spawner (Free),9/1/2025 14:12,2.0.0,,[ac]/The Black Cat/ScriptingEffects/2D Ghost Trail Spawner Free.unitypackage,Unknown,,0,7/10/2025 13:17,1,8,ScriptingEffects,2D Ghost Trail Spawner Free,The Black Cat,6000.0.44,2.0.0
201,0,0,AssetStorePackage,Essentials/Tutorial Projects,2D Lighting for Pixel Art| Project files,Unity Technologies,2D Lighting for Pixel Art| Project files,9/10/2025 11:12,1.1,,[ac]/Unity Technologies/Complete ProjectsUnity Tech Demos/2D Lighting for Pixel Art Project files.unitypackage,Unknown,,0,9/19/2025 15:38,0,3,Complete ProjectsUnity Tech Demos,2D Lighting for Pixel Art Project files,Unity Technologies,"6000.1.1, 6000.2.1",1.1
202,0,5,AssetStorePackage,2D/Environments,2D Pixel Art Platformer | Biome - American Forest,Superposition Principle,2D Pixel Art Platformer | Biome - American Forest,7/12/2023 12:51,1.0,,[ac]/Superposition Principle/Textures Materials2D Isometric Tiles/2D Pixel Art Platformer Biome - American Forest.unitypackage,Unknown,,0,9/23/2025 21:22,12,1,Textures Materials2D Isometric Tiles,2D Pixel Art Platformer Biome - American Forest,Superposition Principle,2021.3.6,1.0
203,0,0,AssetStorePackage,2D,2D Pixel Medieval Weapons,datDev26,2D Pixel Medieval Weapons,9/15/2025 12:47,1.1,,[ac]/datDev26/2D/2D Pixel Medieval Weapons.unitypackage,Unknown,,0,4/11/2024 18:12,0,2,2D,2D Pixel Medieval Weapons,datDev26,6000.0.55,1.1
204,0,4,AssetStorePackage,2D/Characters,2D Pixel Unit Maker - SPUM,soonsoon,"2D Pixel Unit Maker - SPUM, 2d chracter, 2d,chracter maker,2d maker, pixel maker",12/10/2025 2:29,1.8.6,,[ac]/soonsoon/Textures Materials2D Characters/2D Pixel Unit Maker - SPUM.unitypackage,Unknown,,19.99,7/7/2025 13:29,87,49,Textures Materials2D Characters,2D Pixel Unit Maker - SPUM,soonsoon,"2022.3.62, 6000.0.62",1.8.2
1617,0,0,AssetStorePackage,Templates/Tutorials,2D Roguelike | Complete Project,Unity Technologies,2D Roguelike | Complete Project,10/30/2025 8:57,1.0.1,,[ac]/Unity Technologies/Complete ProjectsTutorials/2D Roguelike Complete Project.unitypackage,Unknown,,0,10/19/2025 10:38,1,3,Complete ProjectsTutorials,2D Roguelike Complete Project,Unity Technologies,6000.0.0,1.0.1
205,0,5,AssetStorePackage,2D/GUI/Icons,2D RPG Button 7,JiroCraft,2D RPG Button 7,3/18/2024 16:52,1.0,,[ac]/JiroCraft/Textures MaterialsIcons UI/2D RPG Button 7.unitypackage,Unknown,,0,4/11/2024 18:10,3,1,Textures MaterialsIcons UI,2D RPG Button 7,JiroCraft,2022.3.11,1.0
1936,0,0,AssetStorePackage,VFX/Shaders,2D SDF Nodes,polyperfect,2D SDF Nodes,9/19/2022 21:13,1.0,,[ac]/polyperfect/Shaders/2D SDF Nodes.unitypackage,Unknown,,0,11/19/2025 22:23,1,1,Shaders,2D SDF Nodes,polyperfect,2021.3.10,1.0
1618,0,0,AssetStorePackage,2D/Environments,2D Sugar World Asset Pack | URP,Unity Technologies,2D Sugar World Asset Pack | URP,6/7/2023 6:49,1.0,,[ac]/Unity Technologies/Textures Materials2D Isometric Tiles/2D Sugar World Asset Pack URP.unitypackage,Unknown,,0,10/19/2025 10:39,1,3,Textures Materials2D Isometric Tiles,2D Sugar World Asset Pack URP,Unity Technologies,2022.2.0,1.0
206,0,5,AssetStorePackage,2D/Environments,2D TopDown Tilesets Fantasy Dreamland,ElvGames,2D TopDown Tilesets Fantasy Dreamland,6/24/2025 0:13,5.15.0,,[ac]/ElvGames/Textures Materials2D Isometric Tiles/2D TopDown Tilesets Fantasy Dreamland.unitypackage,Unknown,,19.99,2/4/2024 21:28,9,52,Textures Materials2D Isometric Tiles,2D TopDown Tilesets Fantasy Dreamland,ElvGames,2022.3.14,5.15.0
207,0,5,AssetStorePackage,2D/Characters,2D Urban Cars,looneybits,"2D Urban Cars, urban, city, car, start, cabrio, sfx, mobile, parking, score, engine, loop, player, vector, vectorial, graphics, 2D, sound, handpainted, wheel, pack,controls, pedal, steeringwheel, top-head, top-down",1/24/2019 9:47,1.1.0,,[ac]/looneybits/Textures Materials2D Characters/2D Urban Cars.unitypackage,Unknown,,0,3/6/2024 13:03,5,12,Textures Materials2D Characters,2D Urban Cars,looneybits,2018.2.8,1.1.0
1980,1977,5,AssetStorePackage,Shaders,2 D Renderer-URP,Seaside Studios,"All In 1 Sprite Shader, sprite shader, sprite effect, glow, outline, UI shader, URP light, 2d lights, vfx, distortion, hologram, water, light, blur, glow, bloom, blending, bilboard, depth, shine, shadow, hue",11/5/2025 16:17,4.41,,[ac]/Seaside Studios/Shaders/All In 1 Sprite Shader.unitypackage|Assets/Plugins/AllIn1SpriteShader/2DRenderer-URP.unitypackage,Unknown,,19.97,11/21/2025 11:56,349,110,Shaders,2DRenderer-URP,Seaside Studios,2021.3.45,4.41
1807,0,0,CustomPackage,,3.1_ApocalypticTown,,,10/14/2025 17:09,,,E:/Game Assets/20thAnniversary_Unity_Assets/3.1_ApocalypticTown/3.1_ApocalypticTown/3.1_ApocalypticTown.unitypackage,Unknown,,0,,0,0,,3.1_ApocalypticTown,,,
1808,0,0,CustomPackage,,3.1_TerrainAssets,,,10/14/2025 18:03,,,E:/Game Assets/20thAnniversary_Unity_Assets/3.1_TerrainAssets/3.1_TerrainAssets/3.1_TerrainAssets.unitypackage,Unknown,,0,,0,0,,3.1_TerrainAssets,,,
1809,0,0,CustomPackage,,3.3_Penelope,,,10/15/2025 10:54,,,E:/Game Assets/20thAnniversary_Unity_Assets/3.3_Penelope/3.3_Penelope/3.3_Penelope.unitypackage,Unknown,,0,,0,0,,3.3_Penelope,,,
208,0,0,AssetStorePackage,2D/Environments,32x32 Isometric Tileset Pack,KyleD,32x32 Isometric Tileset Pack,5/14/2025 13:02,1.0,,[ac]/KyleD/Textures Materials2D Isometric Tiles/32x32 Isometric Tileset Pack.unitypackage,Unknown,,0,9/22/2025 11:48,1,1,Textures Materials2D Isometric Tiles,32x32 Isometric Tileset Pack,KyleD,2022.3.20,1.0
209,0,4,AssetStorePackage,2D/Textures & Materials,"350+ Realistic Nature Textures Megapack - Forest, Desert, Arctic & More",Game Buffs,"350+ Realistic Nature Textures Megapack - Forest, Desert, Arctic & More",8/6/2024 15:20,1.1.0,,[ac]/Game Buffs/Textures Materials/350 Realistic Nature Textures Megapack - Forest Desert Arctic More.unitypackage,Unknown,,49.5,3/19/2024 14:58,5,9,Textures Materials,350 Realistic Nature Textures Megapack - Forest Desert Arctic More,Game Buffs,"2020.3.0, 2021.3.0",1.1.0
210,0,5,AssetStorePackage,Tools/Camera,360° Screenshot Capture,yasirkula,"360° Screenshot Capture, 360, screenshot, capture, equirectangular, cubemap, jpeg, png, XMP, runtime",8/4/2025 15:40,1.1.1,,[ac]/yasirkula/ScriptingCamera/360 Screenshot Capture.unitypackage,Unknown,,0,9/27/2025 14:21,22,12,ScriptingCamera,360 Screenshot Capture,yasirkula,2021.3.41,1.1.1
211,0,4,AssetStorePackage,Tools/Video,360 Video Player,Ryan Zehm,"360 Video Player, 360, video, player, controls, media, controller, scrubber, timeline, play, pause, sphere, unity,asset,store,stereoscopic,monoscopic,vr,ar,sphere,easy movie texture,video wall, UI, gaze",5/3/2017 21:20,0.31,,[ac]/Ryan Zehm/ScriptingVideo/360 Video Player.unitypackage,Unknown,,0,9/27/2025 14:11,17,8,ScriptingVideo,360 Video Player,Ryan Zehm,5.5.1,0.31
219,0,0,AssetStorePackage,3D/Props/Furniture,3D - Wall Lamp,Alternatrix,3D - Wall Lamp,3/22/2024 16:25,1.0.0,,[ac]/Alternatrix/3D ModelsPropsFurniture/3D - Wall Lamp.unitypackage,Unknown,,0,4/11/2024 18:14,1,1,3D ModelsPropsFurniture,3D - Wall Lamp,Alternatrix,2022.3.18,1.0.0
212,0,3,AssetStorePackage,Templates/Systems,3D Adaptive Parkour System,RedNotRed,3D Adaptive Parkour System,6/12/2023 10:06,1.3,,[ac]/RedNotRed/Complete ProjectsSystems/3D Adaptive Parkour System.unitypackage,Unknown,,0,3/9/2024 17:02,16,13,Complete ProjectsSystems,3D Adaptive Parkour System,RedNotRed,2021.3.4,1.3
1619,0,0,AssetStorePackage,Essentials/Certification,3D Bunny Ball | Certification Courseware,Unity Technologies,3D Bunny Ball | Certification Courseware,3/30/2023 9:35,1.1,,[ac]/Unity Technologies/Unity EssentialsCertification/3D Bunny Ball Certification Courseware.unitypackage,Unknown,,0,10/19/2025 10:36,1,3,Unity EssentialsCertification,3D Bunny Ball Certification Courseware,Unity Technologies,"2018.4.36, 2021.3.0",1.1
213,0,5,AssetStorePackage,3D/Characters/Humanoids,3D Characters Zombie City Streets Lowpoly Pack - Lite,CatBorg Studio,3D Characters Zombie City Streets Lowpoly Pack - Lite,11/12/2024 11:01,1.02,,[ac]/CatBorg Studio/3D ModelsCharactersHumanoids/3D Characters Zombie City Streets Lowpoly Pack - Lite.unitypackage,Unknown,,0,4/11/2024 18:10,27,6,3D ModelsCharactersHumanoids,3D Characters Zombie City Streets Lowpoly Pack - Lite,CatBorg Studio,2021.3.8,1.02
214,0,5,AssetStorePackage,3D/Characters,3D Characters Zombie Hospital Lowpoly Pack - Lite,CatBorg Studio,3D Characters Zombie Hospital Lowpoly Pack - Lite,11/12/2024 11:01,1.02,,[ac]/CatBorg Studio/3D ModelsCharacters/3D Characters Zombie Hospital Lowpoly Pack - Lite.unitypackage,Unknown,,0,4/11/2024 16:39,21,8,3D ModelsCharacters,3D Characters Zombie Hospital Lowpoly Pack - Lite,CatBorg Studio,2021.3.8,1.02
215,0,0,AssetStorePackage,3D/Props,3D Chess Pack - Free,Dark_Yagami,3D Chess Pack - Free,9/10/2025 12:48,1.0,,[ac]/DarkYagami/3D ModelsProps/3D Chess Pack - Free.unitypackage,Unknown,,0,9/19/2025 15:39,0,1,3D ModelsProps,3D Chess Pack - Free,DarkYagami,6000.1.5,1.0
1620,0,0,AssetStorePackage,Essentials/Certification,3D Crash Scene | Certification Courseware,Unity Technologies,3D Crash Scene | Certification Courseware,3/30/2023 9:35,1.1,,[ac]/Unity Technologies/Unity EssentialsCertification/3D Crash Scene Certification Courseware.unitypackage,Unknown,,0,10/19/2025 10:39,1,3,Unity EssentialsCertification,3D Crash Scene Certification Courseware,Unity Technologies,"2018.4.36, 2021.3.0",1.1
1621,0,4,AssetStorePackage,3D,3D Game Kit - Character Pack,Unity Technologies,3D Game Kit - Character Pack,8/12/2022 7:49,1.0,,[ac]/Unity Technologies/3D Models/3D Game Kit - Character Pack.unitypackage,Unknown,,0,10/19/2025 10:36,31,32,3D Models,3D Game Kit - Character Pack,Unity Technologies,"2018.3.0, 2021.3.6",1.0
1622,0,4,AssetStorePackage,3D/Vegetation,3D Game Kit - Environment Pack,Unity Technologies,3D Game Kit - Environment Pack,9/13/2024 17:07,2.0,,[ac]/Unity Technologies/3D ModelsVegetation/3D Game Kit - Environment Pack.unitypackage,Unknown,,0,10/19/2025 10:35,23,35,3D ModelsVegetation,3D Game Kit - Environment Pack,Unity Technologies,"2021.3.6, 2022.3.0",2.0
1624,0,5,AssetStorePackage,3D/Props,3D Game Kit - Props Pack,Unity Technologies,3D Game Kit - Props Pack,9/13/2024 15:40,3.0,,[ac]/Unity Technologies/3D ModelsProps/3D Game Kit - Props Pack.unitypackage,Unknown,,0,10/19/2025 10:37,15,36,3D ModelsProps,3D Game Kit - Props Pack,Unity Technologies,"2018.3.0, 2021.3.6, 2022.3.0",3.0
1623,0,4,AssetStorePackage,Templates/Tutorials,3D Game Kit Lite,Unity Technologies,3D Game Kit Lite,9/14/2023 9:06,1.8.2,,[ac]/Unity Technologies/Complete ProjectsTutorials/3D Game Kit Lite.unitypackage,Unknown,,0,10/19/2025 10:34,56,47,Complete ProjectsTutorials,3D Game Kit Lite,Unity Technologies,"2020.1.0, 2020.2.1, 2020.3.0",1.8.2
2044,0,0,AssetStorePackage,3D/Environments,3D | Low Poly Forest Pack | FREE,RCstudio3D,3D | Low Poly Forest Pack | FREE,10/29/2025 14:22,1.0,,[ac]/RCstudio3D/3D ModelsEnvironments/3D Low Poly Forest Pack FREE.unitypackage,Unknown,,0,11/25/2025 19:53,0,1,3D ModelsEnvironments,3D Low Poly Forest Pack FREE,RCstudio3D,6000.0.58,1.0
2361,0,0,AssetStorePackage,3D/Vehicles/Land,3D Low Poly Voxel Pickup Truck : Pixel Style,PTZ,3D Low Poly Voxel Pickup Truck : Pixel Style,9/4/2025 13:28,1.2,,[ac]/PTZ/3D ModelsVehiclesLand/3D Low Poly Voxel Pickup Truck Pixel Style.unitypackage,Unknown,,0,9/19/2025 15:36,0,1,3D ModelsVehiclesLand,3D Low Poly Voxel Pickup Truck Pixel Style,PTZ,2021.3.45,1.2
217,0,5,AssetStorePackage,Tools/GUI,3D Modern Menu UI,SlimUI,"3D Modern Menu UI, 3d menu ""modern menu"" full responsive smooth 2d gui ugui ""full menu"" ""aaa menu"" ""text mesh pro"" ""theme editor""",11/27/2023 15:56,1.3.1,,[ac]/SlimUI/ScriptingGUI/3D Modern Menu UI.unitypackage,Unknown,,0,8/12/2025 1:05,99,46,ScriptingGUI,3D Modern Menu UI,SlimUI,2020.3.48,1.3.1
2236,0,0,AssetStorePackage,2D/GUI,"3D Object Image for UI Toolkit - World objects, Mini-Maps, Inventory, Portraits",KAMGAM,"3D Object Image for UI Toolkit - World objects, Mini-Maps, Inventory, Portraits",11/27/2024 5:25,1.1.2,,[ac]/KAMGAM/Textures MaterialsGUI Skins/3D Object Image for UI Toolkit - World objects Mini-Maps Inventory Portraits.unitypackage,Unknown,,29.99,12/7/2025 10:28,1,6,Textures MaterialsGUI Skins,3D Object Image for UI Toolkit - World objects Mini-Maps Inventory Portraits,KAMGAM,2021.3.5,1.1.2
2237,0,5,AssetStorePackage,Templates/Systems,"3D Roguelike RPG Complete Kit for Mobile and PC: TPS, Enemy AI, Puzzle and Props",Queen,"3D Roguelike RPG Complete Kit for Mobile and PC: TPS, Enemy AI, Puzzle and Props",12/18/2025 13:27,5.1,,[ac]/Queen/Complete ProjectsSystems/3D Roguelike RPG Complete Kit for Mobile and PC TPS Enemy AI Puzzle and Props.unitypackage,Unknown,,12,12/7/2025 18:39,14,24,Complete ProjectsSystems,3D Roguelike RPG Complete Kit for Mobile and PC TPS Enemy AI Puzzle and Props,Queen,2022.3.23,5.0
218,0,5,AssetStorePackage,Complete Projects/Unity Tech Demos,3D Stealth Game: Haunted House,Unity Technologies,3D Stealth Game: Haunted House,7/8/2025 11:09,4.0,,[ac]/Unity Technologies/Complete ProjectsUnity Tech Demos/3D Stealth Game Haunted House.unitypackage,Unknown,,0,8/25/2025 13:12,144,47,Complete ProjectsUnity Tech Demos,3D Stealth Game Haunted House,Unity Technologies,"2020.3.0, 2021.3.0, 2022.3.0, 6000.0.0",4.0
